Country,State/Province,Latitude,Longitude
Vietnam,Son La,21.2276769,104.1575944
Vietnam,Tay Ninh,11.4019366,106.1626927
Vietnam,Thai Binh,20.5296832,106.3876068
Vietnam,Thai Nguyen,21.6498502,105.8351394
Vietnam,Thanh Hoa,19.8076814,105.7767437
Vietnam,Thua Thien-Hue,16.5530473,107.6900375420642
Vietnam,Tien Giang,10.4030368,106.361633
Vietnam,Tra Vinh,9.8037998,106.3256808
Vietnam,Tuyen Quang,21.7879695,105.217387
Vietnam,Vinh Long,10.1203043,106.0125705
Vietnam,Vinh Phuc,21.3778689,105.5758286
Vietnam,Yen Bai,21.8268679,104.663122
