Province,Date,Weather Code,Max Temp (°C),Min Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Sunrise,Sunset,Daylight Duration (s),Sunshine Duration (s),UV Index Max,UV Index Clear Sky Max,Precipitation (mm),Rain (mm),Showers (mm),Snowfall (mm),Precipitation Hours,Precipitation Probability Max (%),Max Wind Speed (m/s),Max Wind Gusts (m/s),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),Reference Evapotranspiration (mm)
An Giang,2023-01-01,53,27.8,21.1,29.6,21.8,2023-01-01T06:16,2023-01-01T17:47,41472.68,33451.8,,,0.6,0.6,0.0,0.0,1.0,,17.9,37.4,9,16.21,4.21
An Giang,2023-01-02,3,29.8,22.7,33.8,24.1,2023-01-02T06:17,2023-01-02T17:48,41481.36,36650.25,,,0.0,0.0,0.0,0.0,0.0,,12.7,29.5,2,16.57,4.1
An Giang,2023-01-03,51,32.0,23.2,35.0,24.7,2023-01-03T06:17,2023-01-03T17:48,41490.87,36981.75,,,1.0,1.0,0.0,0.0,4.0,,19.2,40.3,20,19.48,4.7
An Giang,2023-01-04,51,31.1,23.5,32.8,24.7,2023-01-04T06:17,2023-01-04T17:49,41501.16,32427.34,,,0.2,0.2,0.0,0.0,1.0,,20.6,40.7,15,16.88,4.67
An Giang,2023-01-05,51,28.5,24.7,28.9,24.9,2023-01-05T06:18,2023-01-05T17:50,41512.22,7768.72,,,0.4,0.4,0.0,0.0,2.0,,22.7,43.2,17,7.65,3.68
An Giang,2023-01-06,63,25.9,22.0,25.2,21.9,2023-01-06T06:18,2023-01-06T17:50,41524.03,9442.15,,,9.0,9.0,0.0,0.0,8.0,,25.8,49.3,3,8.35,2.85
An Giang,2023-01-07,51,25.4,21.7,25.7,21.8,2023-01-07T06:18,2023-01-07T17:51,41536.57,18923.13,,,1.1,1.1,0.0,0.0,6.0,,23.0,43.9,359,10.73,3.24
An Giang,2023-01-08,3,28.2,21.0,32.1,22.2,2023-01-08T06:19,2023-01-08T17:51,41549.8,22357.31,,,0.0,0.0,0.0,0.0,0.0,,14.8,27.7,6,13.72,3.1
An Giang,2023-01-09,53,28.5,22.1,32.5,24.8,2023-01-09T06:19,2023-01-09T17:52,41563.73,24615.2,,,1.2,1.2,0.0,0.0,3.0,,13.3,29.9,33,11.65,2.52
An Giang,2023-01-10,65,26.1,22.7,30.4,26.1,2023-01-10T06:19,2023-01-10T17:52,41578.32,9901.37,,,58.1,58.1,0.0,0.0,23.0,,15.7,30.2,90,8.24,1.65
An Giang,2023-01-11,63,27.8,22.7,32.1,26.3,2023-01-11T06:20,2023-01-11T17:53,41593.54,22155.99,,,21.5,21.5,0.0,0.0,18.0,,17.2,33.1,133,11.8,2.33
An Giang,2023-01-12,63,27.8,22.7,32.9,26.6,2023-01-12T06:20,2023-01-12T17:53,41609.39,23461.3,,,6.3,6.3,0.0,0.0,9.0,,12.0,25.6,134,12.14,2.4
An Giang,2023-01-13,61,29.2,21.9,36.7,25.7,2023-01-13T06:20,2023-01-13T17:54,41625.83,35509.09,,,3.4,3.4,0.0,0.0,8.0,,13.7,26.3,168,16.55,3.28
An Giang,2023-01-14,51,30.6,22.4,36.9,26.7,2023-01-14T06:20,2023-01-14T17:54,41642.85,36572.06,,,0.6,0.6,0.0,0.0,3.0,,10.8,22.0,217,18.99,3.84
An Giang,2023-01-15,3,30.7,21.4,34.8,25.0,2023-01-15T06:21,2023-01-15T17:55,41660.43,38151.75,,,0.0,0.0,0.0,0.0,0.0,,9.9,21.6,339,20.04,4.16
An Giang,2023-01-16,51,29.9,21.2,35.0,24.2,2023-01-16T06:21,2023-01-16T17:55,41678.54,38104.18,,,0.1,0.1,0.0,0.0,1.0,,11.4,20.5,138,17.42,3.6
An Giang,2023-01-17,53,29.6,21.5,35.5,25.2,2023-01-17T06:21,2023-01-17T17:56,41697.16,37106.04,,,1.7,1.7,0.0,0.0,7.0,,12.9,23.4,127,19.6,3.91
An Giang,2023-01-18,51,28.4,20.9,32.0,24.4,2023-01-18T06:21,2023-01-18T17:56,41716.28,36000.0,,,0.1,0.1,0.0,0.0,1.0,,14.9,29.5,13,19.75,4.02
An Giang,2023-01-19,3,28.2,22.2,30.9,23.5,2023-01-19T06:21,2023-01-19T17:57,41736.09,28833.61,,,0.0,0.0,0.0,0.0,0.0,,14.4,29.2,8,16.17,3.91
An Giang,2023-01-20,3,28.8,21.7,33.1,23.5,2023-01-20T06:21,2023-01-20T17:57,41756.66,33762.81,,,0.0,0.0,0.0,0.0,0.0,,14.4,28.1,358,17.07,3.94
An Giang,2023-01-21,3,30.2,22.0,35.1,23.6,2023-01-21T06:22,2023-01-21T17:58,41777.95,38333.52,,,0.0,0.0,0.0,0.0,0.0,,12.8,27.4,1,21.27,4.65
An Giang,2023-01-22,51,30.1,22.4,35.1,25.6,2023-01-22T06:22,2023-01-22T17:58,41799.91,38285.27,,,0.4,0.4,0.0,0.0,4.0,,10.2,23.0,23,18.17,3.74
An Giang,2023-01-23,51,31.3,22.4,37.0,26.6,2023-01-23T06:22,2023-01-23T17:59,41822.53,37427.49,,,0.6,0.6,0.0,0.0,3.0,,9.4,24.8,96,19.24,4.04
An Giang,2023-01-24,63,32.2,22.3,35.4,26.0,2023-01-24T06:22,2023-01-24T17:59,41845.76,37224.5,,,6.7,6.7,0.0,0.0,2.0,,18.3,37.8,50,19.58,4.29
An Giang,2023-01-25,3,29.0,21.7,30.8,22.5,2023-01-25T06:22,2023-01-25T18:00,41869.57,31269.62,,,0.0,0.0,0.0,0.0,0.0,,20.1,38.9,14,15.76,3.73
An Giang,2023-01-26,3,27.0,21.9,29.7,22.7,2023-01-26T06:22,2023-01-26T18:00,41893.93,18650.52,,,0.0,0.0,0.0,0.0,0.0,,12.0,25.6,351,10.98,2.73
An Giang,2023-01-27,3,29.7,21.6,35.2,23.6,2023-01-27T06:22,2023-01-27T18:00,41918.8,32565.16,,,0.0,0.0,0.0,0.0,0.0,,12.8,32.0,359,19.38,4.03
An Giang,2023-01-28,3,30.1,23.1,32.0,23.5,2023-01-28T06:22,2023-01-28T18:01,41944.15,30341.69,,,0.0,0.0,0.0,0.0,0.0,,17.9,36.0,17,18.45,4.62
An Giang,2023-01-29,3,28.5,21.0,30.9,21.4,2023-01-29T06:22,2023-01-29T18:01,41969.94,37815.76,,,0.0,0.0,0.0,0.0,0.0,,16.5,29.5,9,18.04,4.2
An Giang,2023-01-30,3,27.7,19.9,29.8,19.0,2023-01-30T06:22,2023-01-30T18:02,41996.14,38395.66,,,0.0,0.0,0.0,0.0,0.0,,15.2,30.2,4,20.66,4.71
An Giang,2023-01-31,3,30.0,20.1,34.8,20.4,2023-01-31T06:22,2023-01-31T18:02,42022.73,38603.2,,,0.0,0.0,0.0,0.0,0.0,,11.2,24.8,12,22.0,4.59
An Giang,2023-02-01,3,30.9,21.1,34.4,23.9,2023-02-01T06:22,2023-02-01T18:02,42049.67,29212.41,,,0.0,0.0,0.0,0.0,0.0,,9.6,21.6,17,14.76,3.29
An Giang,2023-02-02,51,31.6,24.1,36.1,28.2,2023-02-02T06:22,2023-02-02T18:03,42076.93,31323.57,,,0.6,0.6,0.0,0.0,4.0,,15.9,34.6,115,17.95,4.08
An Giang,2023-02-03,3,32.5,24.1,34.9,27.7,2023-02-03T06:21,2023-02-03T18:03,42104.47,38546.84,,,0.0,0.0,0.0,0.0,0.0,,20.9,40.7,108,19.5,4.91
An Giang,2023-02-04,3,32.3,22.1,35.2,25.5,2023-02-04T06:21,2023-02-04T18:03,42132.26,38694.0,,,0.0,0.0,0.0,0.0,0.0,,16.3,36.4,102,21.44,5.1
An Giang,2023-02-05,3,32.2,21.7,35.3,25.1,2023-02-05T06:21,2023-02-05T18:04,42160.29,38635.21,,,0.0,0.0,0.0,0.0,0.0,,13.8,29.2,104,21.09,4.82
An Giang,2023-02-06,3,32.0,21.5,35.8,25.0,2023-02-06T06:21,2023-02-06T18:04,42188.51,38814.54,,,0.0,0.0,0.0,0.0,0.0,,12.9,28.4,115,21.51,4.79
An Giang,2023-02-07,51,31.3,21.9,35.4,25.5,2023-02-07T06:21,2023-02-07T18:04,42216.91,33679.69,,,0.6,0.6,0.0,0.0,3.0,,13.4,26.6,124,18.45,4.3
An Giang,2023-02-08,51,31.9,22.1,36.3,26.0,2023-02-08T06:21,2023-02-08T18:05,42245.72,38771.46,,,0.1,0.1,0.0,0.0,1.0,,15.5,30.2,113,20.47,4.63
An Giang,2023-02-09,51,32.3,23.5,35.9,27.6,2023-02-09T06:20,2023-02-09T18:05,42275.04,38788.62,,,0.2,0.2,0.0,0.0,2.0,,18.4,35.3,113,20.11,5.01
An Giang,2023-02-10,3,32.4,22.0,35.7,25.3,2023-02-10T06:20,2023-02-10T18:05,42304.84,38970.11,,,0.0,0.0,0.0,0.0,0.0,,15.4,32.4,120,22.79,5.34
An Giang,2023-02-11,3,32.0,21.2,36.4,24.7,2023-02-11T06:20,2023-02-11T18:06,42335.09,38706.38,,,0.0,0.0,0.0,0.0,0.0,,13.6,28.4,125,19.47,4.52
An Giang,2023-02-12,3,32.1,22.8,36.6,26.7,2023-02-12T06:20,2023-02-12T18:06,42365.74,38834.95,,,0.0,0.0,0.0,0.0,0.0,,10.0,24.1,133,20.63,4.51
An Giang,2023-02-13,3,32.3,22.6,36.5,26.9,2023-02-13T06:19,2023-02-13T18:06,42396.77,33904.74,,,0.0,0.0,0.0,0.0,0.0,,10.2,22.0,135,18.41,4.17
An Giang,2023-02-14,3,31.0,22.3,35.1,26.5,2023-02-14T06:19,2023-02-14T18:06,42428.14,38306.73,,,0.0,0.0,0.0,0.0,0.0,,15.0,25.9,114,18.76,4.12
An Giang,2023-02-15,51,31.5,22.6,35.9,26.4,2023-02-15T06:19,2023-02-15T18:07,42459.83,38786.85,,,0.3,0.3,0.0,0.0,2.0,,14.2,30.2,103,21.24,4.74
An Giang,2023-02-16,3,31.8,22.6,35.2,26.5,2023-02-16T06:19,2023-02-16T18:07,42491.8,38972.66,,,0.0,0.0,0.0,0.0,0.0,,12.6,27.0,67,22.5,5.07
An Giang,2023-02-17,3,32.0,22.3,36.1,24.0,2023-02-17T06:18,2023-02-17T18:07,42524.02,37866.31,,,0.0,0.0,0.0,0.0,0.0,,11.7,24.8,82,23.07,5.32
An Giang,2023-02-18,3,31.3,23.0,35.3,27.0,2023-02-18T06:18,2023-02-18T18:07,42556.46,38994.72,,,0.0,0.0,0.0,0.0,0.0,,9.7,24.5,75,19.76,4.34
An Giang,2023-02-19,53,30.6,23.1,36.7,26.4,2023-02-19T06:17,2023-02-19T18:07,42589.09,33757.7,,,3.2,3.2,0.0,0.0,13.0,,13.8,29.2,190,17.52,3.69
An Giang,2023-02-20,53,29.8,22.6,33.1,26.2,2023-02-20T06:17,2023-02-20T18:07,42621.88,27235.78,,,1.3,1.3,0.0,0.0,3.0,,13.5,27.0,100,16.51,3.68
An Giang,2023-02-21,51,31.5,22.0,34.3,26.4,2023-02-21T06:17,2023-02-21T18:08,42654.8,39114.86,,,0.1,0.1,0.0,0.0,1.0,,13.2,27.0,81,22.78,4.98
An Giang,2023-02-22,51,31.5,21.4,34.5,25.3,2023-02-22T06:16,2023-02-22T18:08,42687.82,38936.15,,,0.1,0.1,0.0,0.0,1.0,,14.0,26.6,73,21.5,4.7
An Giang,2023-02-23,51,31.7,21.5,35.4,25.1,2023-02-23T06:16,2023-02-23T18:08,42720.92,39321.11,,,0.2,0.2,0.0,0.0,2.0,,12.7,24.1,108,22.25,4.76
An Giang,2023-02-24,51,32.0,22.5,35.9,26.0,2023-02-24T06:16,2023-02-24T18:08,42754.06,39234.76,,,0.1,0.1,0.0,0.0,1.0,,14.7,25.6,128,22.43,4.97
An Giang,2023-02-25,51,31.7,21.9,33.3,25.4,2023-02-25T06:15,2023-02-25T18:08,42787.21,38198.35,,,0.3,0.3,0.0,0.0,2.0,,14.8,31.0,61,22.45,5.08
An Giang,2023-02-26,3,32.0,21.5,33.2,21.7,2023-02-26T06:15,2023-02-26T18:08,42820.36,39347.45,,,0.0,0.0,0.0,0.0,0.0,,19.6,38.9,24,23.15,5.91
An Giang,2023-02-27,3,33.2,21.9,35.0,22.1,2023-02-27T06:14,2023-02-27T18:08,42853.47,34337.54,,,0.0,0.0,0.0,0.0,0.0,,15.5,31.7,29,21.82,5.58
An Giang,2023-02-28,51,32.4,22.8,36.2,24.5,2023-02-28T06:14,2023-02-28T18:09,42886.79,35284.77,,,0.3,0.3,0.0,0.0,2.0,,12.7,29.2,50,18.26,4.65
An Giang,2023-03-01,51,33.1,22.6,36.8,27.0,2023-03-01T06:13,2023-03-01T18:09,42920.41,38963.43,,,0.1,0.1,0.0,0.0,1.0,,12.2,27.0,98,22.92,5.32
An Giang,2023-03-02,3,33.9,22.6,37.5,26.3,2023-03-02T06:13,2023-03-02T18:09,42954.29,39473.63,,,0.0,0.0,0.0,0.0,0.0,,13.2,32.0,86,23.15,5.46
An Giang,2023-03-03,3,32.3,22.7,35.8,26.9,2023-03-03T06:12,2023-03-03T18:09,42988.43,39787.52,,,0.0,0.0,0.0,0.0,0.0,,13.2,23.8,65,24.05,5.31
An Giang,2023-03-04,3,32.0,21.8,35.4,25.4,2023-03-04T06:12,2023-03-04T18:09,43022.79,39434.07,,,0.0,0.0,0.0,0.0,0.0,,12.9,24.5,92,23.09,5.33
An Giang,2023-03-05,3,30.9,20.6,34.2,23.6,2023-03-05T06:11,2023-03-05T18:09,43057.35,38282.86,,,0.0,0.0,0.0,0.0,0.0,,12.8,24.5,85,24.26,5.36
An Giang,2023-03-06,3,31.9,20.4,33.3,23.4,2023-03-06T06:11,2023-03-06T18:09,43092.07,36231.41,,,0.0,0.0,0.0,0.0,0.0,,13.9,26.6,55,22.22,5.16
An Giang,2023-03-07,3,32.4,19.4,36.0,21.4,2023-03-07T06:10,2023-03-07T18:09,43126.94,40133.57,,,0.0,0.0,0.0,0.0,0.0,,15.7,27.4,81,23.91,5.51
An Giang,2023-03-08,3,33.3,21.0,36.6,23.7,2023-03-08T06:10,2023-03-08T18:09,43161.92,40249.41,,,0.0,0.0,0.0,0.0,0.0,,16.8,29.2,102,24.92,5.81
An Giang,2023-03-09,1,33.2,20.8,36.2,23.7,2023-03-09T06:09,2023-03-09T18:09,43197.0,40476.29,,,0.0,0.0,0.0,0.0,0.0,,18.6,32.4,105,24.22,5.88
An Giang,2023-03-10,3,33.3,20.4,36.5,22.9,2023-03-10T06:09,2023-03-10T18:09,43232.14,37966.69,,,0.0,0.0,0.0,0.0,0.0,,15.0,27.7,102,21.46,5.12
An Giang,2023-03-11,3,33.9,20.9,36.7,24.0,2023-03-11T06:08,2023-03-11T18:09,43267.33,40187.13,,,0.0,0.0,0.0,0.0,0.0,,16.1,31.7,111,21.74,5.35
An Giang,2023-03-12,3,33.2,21.6,35.8,24.0,2023-03-12T06:08,2023-03-12T18:09,43302.54,40614.8,,,0.0,0.0,0.0,0.0,0.0,,17.7,35.3,110,19.35,5.22
