Country,State/Province,Latitude,Longitude
Vietnam,An Giang,10.5392057,105.2312822
Vietnam,Ba Ria-Vung Tau,10.5738801,107.3284362
Vietnam,Bac Giang,21.3169625,106.437985
Vietnam,Bac Kan,22.2571701,105.8204437
Vietnam,Bac Lieu,9.3298341,105.509946
Vietnam,Bac Ninh,21.0955822,106.1264766
Vietnam,Ben Tre,10.1093637,106.4811559
Vietnam,Binh Dinh,14.0779378,108.9898798
Vietnam,Binh Duong,11.1836551,106.7031737
Vietnam,Binh Phuoc,11.7543232,106.9266473
Vietnam,Binh Thuan,10.9685906,108.0032715
Vietnam,Ca Mau,9.0180177,105.0869724
Vietnam,Can Tho,10.0364634,105.7875821
