Country,State/Province,Latitude,Longitude
Vietnam,Hai Phong,20.858864,106.6749591
Vietnam,Ho Chi Minh,10.7763897,106.7011391
Vietnam,Hoa Binh,20.6763365,105.3759952
Vietnam,Hung Yen,20.7833912,106.0699025
Vietnam,Khanh Hoa,12.2980751,108.9950386
Vietnam,Kien Giang,9.9904962,105.2435248
Vietnam,Kon Tum,14.6995372,107.9323831
Vietnam,Lai Chau,22.2921668,103.1798662
Vietnam,Lam Dong,11.6614957,108.1335279
Vietnam,Lang Son,21.8487579,106.6140692
Vietnam,Lao Cai,22.3069302,104.1829592
Vietnam,Long An,10.6983968,106.1883517
