Province,Date,Weather Code,Max Temp (°C),Min Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Sunrise,Sunset,Daylight Duration (s),Sunshine Duration (s),UV Index Max,UV Index Clear Sky Max,Precipitation (mm),Rain (mm),Showers (mm),Snowfall (mm),Precipitation Hours,Precipitation Probability Max (%),Max Wind Speed (m/s),Max Wind Gusts (m/s),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),Reference Evapotranspiration (mm)
An Giang,2022-01-01,3,30.0,21.7,33.8,22.3,2022-01-01T06:16,2022-01-01T17:48,41475.33,37366.2,,,0.0,0.0,0.0,0.0,0.0,,11.8,25.6,25,20.41,4.51
An Giang,2022-01-02,3,30.7,22.4,34.5,24.2,2022-01-02T06:17,2022-01-02T17:48,41483.82,36553.86,,,0.0,0.0,0.0,0.0,0.0,,13.0,28.1,23,19.96,4.29
An Giang,2022-01-03,3,29.7,22.5,33.8,26.2,2022-01-03T06:17,2022-01-03T17:49,41493.04,33202.78,,,0.0,0.0,0.0,0.0,0.0,,9.4,21.6,65,17.39,3.67
An Giang,2022-01-04,3,31.0,22.8,35.8,27.1,2022-01-04T06:18,2022-01-04T17:49,41503.11,37637.04,,,0.0,0.0,0.0,0.0,0.0,,11.0,21.2,64,19.92,4.23
An Giang,2022-01-05,51,31.2,21.8,36.7,25.7,2022-01-05T06:18,2022-01-05T17:50,41514.04,37000.3,,,0.9,0.9,0.0,0.0,6.0,,9.0,19.8,173,18.74,3.96
An Giang,2022-01-06,53,31.3,22.5,36.9,26.8,2022-01-06T06:18,2022-01-06T17:50,41525.81,36912.72,,,1.6,1.6,0.0,0.0,6.0,,9.7,19.1,162,18.96,3.95
An Giang,2022-01-07,65,31.4,22.3,36.8,26.8,2022-01-07T06:19,2022-01-07T17:51,41538.39,37112.55,,,11.7,11.7,0.0,0.0,9.0,,11.4,23.8,43,18.89,3.89
An Giang,2022-01-08,51,31.6,22.5,35.6,26.8,2022-01-08T06:19,2022-01-08T17:51,41551.76,38002.09,,,0.3,0.3,0.0,0.0,1.0,,11.0,23.4,86,20.28,4.23
An Giang,2022-01-09,3,31.2,21.6,35.8,25.2,2022-01-09T06:19,2022-01-09T17:52,41565.89,38205.34,,,0.0,0.0,0.0,0.0,0.0,,13.5,22.7,133,20.74,4.33
An Giang,2022-01-10,51,31.2,23.5,35.5,27.3,2022-01-10T06:19,2022-01-10T17:52,41580.76,37442.24,,,0.2,0.2,0.0,0.0,2.0,,14.6,30.6,123,19.21,4.26
An Giang,2022-01-11,51,31.7,22.0,35.4,25.8,2022-01-11T06:20,2022-01-11T17:53,41596.33,38186.73,,,0.1,0.1,0.0,0.0,1.0,,17.6,33.1,127,20.02,4.52
An Giang,2022-01-12,3,31.2,21.1,34.6,24.1,2022-01-12T06:20,2022-01-12T17:53,41612.58,38175.9,,,0.0,0.0,0.0,0.0,0.0,,14.5,26.6,110,20.48,4.57
An Giang,2022-01-13,51,31.0,20.6,33.7,23.4,2022-01-13T06:20,2022-01-13T17:54,41629.49,38089.46,,,0.6,0.6,0.0,0.0,3.0,,12.7,26.6,109,19.78,4.36
An Giang,2022-01-14,51,30.7,20.6,33.9,23.8,2022-01-14T06:20,2022-01-14T17:55,41647.03,38123.37,,,0.3,0.3,0.0,0.0,2.0,,11.9,23.4,106,19.96,4.43
An Giang,2022-01-15,3,31.6,20.2,34.8,22.9,2022-01-15T06:21,2022-01-15T17:55,41665.16,38236.94,,,0.0,0.0,0.0,0.0,0.0,,16.4,28.1,110,21.29,4.7
An Giang,2022-01-16,3,31.9,20.2,34.7,22.6,2022-01-16T06:21,2022-01-16T17:56,41683.88,38058.77,,,0.0,0.0,0.0,0.0,0.0,,19.9,34.6,118,20.85,4.76
An Giang,2022-01-17,3,32.1,21.7,35.0,25.1,2022-01-17T06:21,2022-01-17T17:56,41703.15,38172.15,,,0.0,0.0,0.0,0.0,0.0,,13.0,24.5,105,20.17,4.61
An Giang,2022-01-18,51,31.8,21.5,35.5,24.4,2022-01-18T06:21,2022-01-18T17:57,41722.94,38332.75,,,0.1,0.1,0.0,0.0,1.0,,11.5,21.2,115,20.24,4.52
