Province,Date,Weather Code,Max Temp (°C),Min Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Sunrise,Sunset,Daylight Duration (s),Sunshine Duration (s),UV Index Max,UV Index Clear Sky Max,Precipitation (mm),Rain (mm),Showers (mm),Snowfall (mm),Precipitation Hours,Precipitation Probability Max (%),Max Wind Speed (m/s),Max Wind Gusts (m/s),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),Reference Evapotranspiration (mm)
Cao Bang,2022-01-01,51,15.2,11.5,15.2,10.8,2022-01-01T06:36,2022-01-01T17:22,38759.03,0.0,,,1.8,1.8,0.0,0.0,10.0,,5.1,13.0,194,3.42,0.74
Cao Bang,2022-01-02,3,20.1,11.9,19.9,11.4,2022-01-02T06:36,2022-01-02T17:22,38778.75,22268.51,,,0.0,0.0,0.0,0.0,0.0,,8.5,18.7,146,10.07,1.82
Cao Bang,2022-01-03,51,20.9,11.2,20.8,10.6,2022-01-03T06:36,2022-01-03T17:23,38800.18,17725.22,,,0.2,0.2,0.0,0.0,2.0,,9.0,21.6,113,9.01,1.76
Cao Bang,2022-01-04,51,22.1,10.7,21.7,10.1,2022-01-04T06:36,2022-01-04T17:23,38823.55,22047.68,,,0.1,0.1,0.0,0.0,1.0,,9.0,21.2,119,8.96,1.82
Cao Bang,2022-01-05,51,22.0,12.7,22.4,12.8,2022-01-05T06:37,2022-01-05T17:24,38848.94,28800.0,,,0.6,0.6,0.0,0.0,5.0,,7.6,20.2,86,10.93,2.0
Cao Bang,2022-01-06,53,21.9,12.1,22.8,12.0,2022-01-06T06:37,2022-01-06T17:25,38876.27,28714.28,,,3.0,3.0,0.0,0.0,13.0,,7.9,21.6,117,11.48,2.04
Cao Bang,2022-01-07,61,16.4,14.2,17.2,14.9,2022-01-07T06:37,2022-01-07T17:25,38905.47,0.0,,,15.3,15.3,0.0,0.0,24.0,,9.0,20.9,149,3.0,0.64
Cao Bang,2022-01-08,61,14.6,12.2,14.9,12.3,2022-01-08T06:37,2022-01-08T17:26,38936.5,0.0,,,14.9,14.9,0.0,0.0,23.0,,6.1,15.5,174,2.62,0.59
Cao Bang,2022-01-09,61,15.1,11.5,14.7,10.3,2022-01-09T06:37,2022-01-09T17:27,38969.29,4491.51,,,2.9,2.9,0.0,0.0,8.0,,8.6,20.9,194,5.75,1.11
Cao Bang,2022-01-10,51,16.1,10.7,15.7,9.7,2022-01-10T06:37,2022-01-10T17:27,39003.76,4329.95,,,0.9,0.9,0.0,0.0,7.0,,9.2,20.9,174,5.4,1.03
Cao Bang,2022-01-11,3,17.8,10.5,16.5,9.3,2022-01-11T06:37,2022-01-11T17:28,39039.87,29374.0,,,0.0,0.0,0.0,0.0,0.0,,13.0,31.3,226,12.43,2.17
Cao Bang,2022-01-12,3,17.4,8.7,16.2,7.2,2022-01-12T06:38,2022-01-12T17:29,39077.55,6717.34,,,0.0,0.0,0.0,0.0,0.0,,10.5,23.8,129,7.68,1.47
Cao Bang,2022-01-13,51,15.2,12.3,14.8,11.6,2022-01-13T06:38,2022-01-13T17:30,39116.73,0.0,,,0.8,0.8,0.0,0.0,6.0,,7.2,15.8,192,3.62,0.87
Cao Bang,2022-01-14,3,19.5,12.0,19.0,10.5,2022-01-14T06:38,2022-01-14T17:30,39157.36,14339.54,,,0.0,0.0,0.0,0.0,0.0,,11.0,25.6,120,7.77,1.61
Cao Bang,2022-01-15,51,21.0,14.4,21.3,14.5,2022-01-15T06:38,2022-01-15T17:31,39199.37,0.0,,,0.4,0.4,0.0,0.0,4.0,,10.1,23.8,114,5.86,1.29
Cao Bang,2022-01-16,65,16.6,12.2,18.4,11.7,2022-01-16T06:38,2022-01-16T17:32,39242.7,0.0,,,65.9,65.9,0.0,0.0,21.0,,5.2,16.6,330,2.05,0.48
Cao Bang,2022-01-17,63,13.2,9.5,12.9,8.5,2022-01-17T06:38,2022-01-17T17:32,39287.29,0.0,,,22.9,22.9,0.0,0.0,19.0,,7.2,17.3,263,3.51,0.67
Cao Bang,2022-01-18,1,18.9,6.3,19.3,4.4,2022-01-18T06:38,2022-01-18T17:33,39333.08,35899.85,,,0.0,0.0,0.0,0.0,0.0,,10.2,23.0,263,16.68,2.64
Cao Bang,2022-01-19,3,17.1,8.3,17.1,7.1,2022-01-19T06:38,2022-01-19T17:34,39380.01,21750.93,,,0.0,0.0,0.0,0.0,0.0,,6.4,14.8,61,11.05,1.78
