Province,Date,Weather Code,Max Temp (°C),Min Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Sunrise,Sunset,Daylight Duration (s),Sunshine Duration (s),UV Index Max,UV Index Clear Sky Max,Precipitation (mm),Rain (mm),Showers (mm),Snowfall (mm),Precipitation Hours,Precipitation Probability Max (%),Max Wind Speed (m/s),Max Wind Gusts (m/s),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),Reference Evapotranspiration (mm)
An Giang,2021-01-29,51,30.9,22.7,34.1,26.8,2021-01-29T06:22,2021-01-29T18:02,41981.25,37948.24,,,0.2,0.2,0.0,0.0,2.0,,12.6,27.7,39,20.67,4.53
An Giang,2021-01-30,3,30.6,21.1,33.1,24.5,2021-01-30T06:22,2021-01-30T18:02,42007.04,38517.29,,,0.0,0.0,0.0,0.0,0.0,,12.4,25.6,83,22.33,4.95
An Giang,2021-01-31,3,31.3,20.2,35.5,23.0,2021-01-31T06:22,2021-01-31T18:02,42033.42,38617.63,,,0.0,0.0,0.0,0.0,0.0,,11.8,22.0,118,19.6,4.44
An Giang,2021-02-01,3,31.7,21.5,36.2,24.6,2021-02-01T06:22,2021-02-01T18:03,42060.36,38562.47,,,0.0,0.0,0.0,0.0,0.0,,9.9,22.0,150,20.63,4.44
An Giang,2021-02-02,3,30.8,21.5,36.3,24.8,2021-02-02T06:22,2021-02-02T18:03,42087.82,38584.02,,,0.0,0.0,0.0,0.0,0.0,,11.5,22.7,151,18.5,4.02
An Giang,2021-02-03,3,32.9,21.4,35.2,24.3,2021-02-03T06:21,2021-02-03T18:03,42115.77,38683.47,,,0.0,0.0,0.0,0.0,0.0,,15.2,28.8,112,22.2,4.99
An Giang,2021-02-04,3,31.3,21.6,35.1,24.9,2021-02-04T06:21,2021-02-04T18:04,42144.17,37674.67,,,0.0,0.0,0.0,0.0,0.0,,6.2,19.8,155,19.33,4.09
An Giang,2021-02-05,51,31.4,21.7,37.0,24.6,2021-02-05T06:21,2021-02-05T18:04,42172.99,38724.01,,,1.0,1.0,0.0,0.0,6.0,,10.3,18.7,203,19.86,4.31
An Giang,2021-02-06,61,31.5,21.7,36.9,25.3,2021-02-06T06:21,2021-02-06T18:04,42202.2,38062.66,,,4.8,4.8,0.0,0.0,10.0,,14.6,26.6,154,20.15,4.27
An Giang,2021-02-07,51,31.1,21.9,36.0,25.6,2021-02-07T06:21,2021-02-07T18:05,42231.74,36092.12,,,0.5,0.5,0.0,0.0,4.0,,8.2,22.0,199,18.48,3.92
An Giang,2021-02-08,63,31.0,23.2,36.2,27.3,2021-02-08T06:21,2021-02-08T18:05,42261.62,33520.32,,,8.6,8.6,0.0,0.0,9.0,,11.8,25.2,172,16.96,3.57
An Giang,2021-02-09,51,31.5,22.2,35.7,25.9,2021-02-09T06:20,2021-02-09T18:05,42291.78,38714.27,,,0.2,0.2,0.0,0.0,2.0,,11.6,29.5,151,20.47,4.51
An Giang,2021-02-10,53,30.4,22.8,35.3,26.8,2021-02-10T06:20,2021-02-10T18:05,42322.19,38480.0,,,1.3,1.3,0.0,0.0,5.0,,10.8,25.2,128,16.18,3.48
